Year,Week,Age,Value
2015,36,90-94,1989.0
2015,36,95+,670.0
2015,36,Insgesamt,15654.0
2015,37,0-29,147.0
2015,37,30-34,57.0
2015,37,35-39,84.0
2015,37,40-44,127.0
2015,37,45-49,244.0
2015,37,50-54,455.0
2015,37,55-59,639.0
2015,37,60-64,864.0
2015,37,65-69,1052.0
2015,37,70-74,1532.0
2015,37,75-79,2435.0
2015,37,80-84,2652.0
2015,37,85-89,2917.0
2015,37,90-94,2094.0
2015,37,95+,653.0
2015,37,Insgesamt,15952.0
2015,38,0-29,150.0
2015,38,30-34,55.0
2015,38,35-39,67.0
2015,38,40-44,106.0
2015,38,45-49,232.0
2015,38,50-54,470.0
2015,38,55-59,632.0
2015,38,60-64,879.0
2015,38,65-69,1009.0
2015,38,70-74,1522.0
2015,38,75-79,2412.0
2015,38,80-84,2693.0
2015,38,85-89,2952.0
2015,38,90-94,2131.0
2015,38,95+,724.0
2015,38,Insgesamt,16034.0
2015,39,0-29,157.0
2015,39,30-34,51.0
2015,39,35-39,66.0
2015,39,40-44,97.0
2015,39,45-49,216.0
2015,39,50-54,459.0
2015,39,55-59,615.0
2015,39,60-64,801.0
2015,39,65-69,964.0
2015,39,70-74,1558.0
2015,39,75-79,2369.0
2015,39,80-84,2778.0
2015,39,85-89,2877.0
2015,39,90-94,1985.0
2015,39,95+,674.0
2015,39,Insgesamt,15667.0
2015,40,0-29,123.0
2015,40,30-34,45.0
2015,40,35-39,66.0
2015,40,40-44,133.0
2015,40,45-49,265.0
2015,40,50-54,458.0
2015,40,55-59,705.0
2015,40,60-64,879.0
2015,40,65-69,1071.0
2015,40,70-74,1558.0
2015,40,75-79,2489.0
2015,40,80-84,2692.0
2015,40,85-89,3120.0
2015,40,90-94,2151.0
2015,40,95+,674.0
2015,40,Insgesamt,16429.0
2015,41,0-29,157.0
2015,41,30-34,55.0
2015,41,35-39,87.0
2015,41,40-44,96.0
2015,41,45-49,239.0
2015,41,50-54,428.0
2015,41,55-59,662.0
2015,41,60-64,947.0
2015,41,65-69,1095.0
2015,41,70-74,1504.0
2015,41,75-79,2614.0
2015,41,80-84,2826.0
2015,41,85-89,3169.0
2015,41,90-94,2132.0
2015,41,95+,765.0
2015,41,Insgesamt,16776.0
2015,42,0-29,165.0
2015,42,30-34,58.0
2015,42,35-39,59.0
2015,42,40-44,131.0
2015,42,45-49,250.0
2015,42,50-54,452.0
2015,42,55-59,651.0
2015,42,60-64,833.0
2015,42,65-69,1139.0
2015,42,70-74,1516.0
2015,42,75-79,2587.0
2015,42,80-84,2868.0
2015,42,85-89,3166.0
2015,42,90-94,2268.0
2015,42,95+,705.0
2015,42,Insgesamt,16848.0
2015,43,0-29,152.0
2015,43,30-34,54.0
2015,43,35-39,85.0
2015,43,40-44,106.0
2015,43,45-49,234.0
2015,43,50-54,455.0
2015,43,55-59,689.0
2015,43,60-64,925.0
2015,43,65-69,1090.0
2015,43,70-74,1586.0
2015,43,75-79,2592.0
2015,43,80-84,3007.0
2015,43,85-89,3174.0
2015,43,90-94,2421.0
2015,43,95+,771.0
2015,43,Insgesamt,17341.0
2015,44,0-29,159.0
2015,44,30-34,50.0
2015,44,35-39,71.0
2015,44,40-44,110.0
2015,44,45-49,251.0
2015,44,50-54,464.0
2015,44,55-59,634.0
2015,44,60-64,918.0
2015,44,65-69,1071.0
2015,44,70-74,1505.0
2015,44,75-79,2557.0
2015,44,80-84,2810.0
2015,44,85-89,3185.0
2015,44,90-94,2262.0
2015,44,95+,748.0
2015,44,Insgesamt,16795.0
2015,45,0-29,150.0
2015,45,30-34,56.0
2015,45,35-39,80.0
2015,45,40-44,85.0
2015,45,45-49,221.0
2015,45,50-54,440.0
2015,45,55-59,677.0
2015,45,60-64,867.0
2015,45,65-69,1068.0
2015,45,70-74,1583.0
2015,45,75-79,2705.0
2015,45,80-84,2903.0
2015,45,85-89,3116.0
2015,45,90-94,2303.0
2015,45,95+,770.0
2015,45,Insgesamt,17024.0
2015,46,0-29,159.0
2015,46,30-34,46.0
2015,46,35-39,71.0
2015,46,40-44,116.0
2015,46,45-49,250.0
2015,46,50-54,440.0
2015,46,55-59,656.0
2015,46,60-64,817.0
2015,46,65-69,1035.0
2015,46,70-74,1565.0
2015,46,75-79,2509.0
2015,46,80-84,2883.0
2015,46,85-89,3121.0
2015,46,90-94,2232.0
2015,46,95+,718.0
2015,46,Insgesamt,16618.0
2015,47,0-29,154.0
2015,47,30-34,49.0
2015,47,35-39,57.0
2015,47,40-44,84.0
2015,47,45-49,202.0
2015,47,50-54,447.0
2015,47,55-59,665.0
2015,47,60-64,860.0
2015,47,65-69,1088.0
2015,47,70-74,1615.0
2015,47,75-79,2607.0
2015,47,80-84,2815.0
2015,47,85-89,3175.0
2015,47,90-94,2249.0
2015,47,95+,782.0
2015,47,Insgesamt,16849.0
2015,48,0-29,138.0
2015,48,30-34,58.0
2015,48,35-39,74.0
2015,48,40-44,125.0
2015,48,45-49,250.0
2015,48,50-54,455.0
2015,48,55-59,640.0
2015,48,60-64,890.0
2015,48,65-69,1077.0
2015,48,70-74,1530.0
2015,48,75-79,2627.0
2015,48,80-84,2857.0
2015,48,85-89,3135.0
2015,48,90-94,2254.0
2015,48,95+,692.0
2015,48,Insgesamt,16802.0
2015,49,0-29,154.0
2015,49,30-34,56.0
2015,49,35-39,83.0
2015,49,40-44,97.0
2015,49,45-49,262.0
2015,49,50-54,414.0
2015,49,55-59,663.0
2015,49,60-64,873.0
2015,49,65-69,1078.0
2015,49,70-74,1518.0
2015,49,75-79,2706.0
2015,49,80-84,2887.0
2015,49,85-89,3194.0
2015,49,90-94,2279.0
2015,49,95+,745.0
2015,49,Insgesamt,17009.0
2015,50,0-29,148.0
2015,50,30-34,38.0
2015,50,35-39,69.0
2015,50,40-44,108.0
2015,50,45-49,239.0
2015,50,50-54,460.0
2015,50,55-59,669.0
2015,50,60-64,885.0
2015,50,65-69,1163.0
2015,50,70-74,1528.0
2015,50,75-79,2574.0
2015,50,80-84,2931.0
2015,50,85-89,3181.0
2015,50,90-94,2304.0
2015,50,95+,757.0
2015,50,Insgesamt,17054.0
2015,51,0-29,160.0
2015,51,30-34,49.0
2015,51,35-39,73.0
2015,51,40-44,102.0
2015,51,45-49,259.0
2015,51,50-54,421.0
2015,51,55-59,657.0
2015,51,60-64,907.0
2015,51,65-69,1155.0
2015,51,70-74,1586.0
2015,51,75-79,2674.0
2015,51,80-84,2916.0
2015,51,85-89,3319.0
2015,51,90-94,2404.0
2015,51,95+,726.0
2015,51,Insgesamt,17408.0
2015,52,0-29,137.0
2015,52,30-34,48.0
2015,52,35-39,87.0
2015,52,40-44,119.0
2015,52,45-49,230.0
2015,52,50-54,456.0
2015,52,55-59,663.0
2015,52,60-64,819.0
2015,52,65-69,1106.0
2015,52,70-74,1569.0
2015,52,75-79,2593.0
2015,52,80-84,2932.0
2015,52,85-89,3357.0
2015,52,90-94,2262.0
2015,52,95+,798.0
2015,52,Insgesamt,17176.0
2015,53,0-29,153.0
2015,53,30-34,70.0
2015,53,35-39,75.0
2015,53,40-44,110.0
2015,53,45-49,225.0
2015,53,50-54,460.0
2015,53,55-59,676.0
2015,53,60-64,878.0
2015,53,65-69,1096.0
2015,53,70-74,1546.0
2015,53,75-79,2601.0
2015,53,80-84,2928.0
2015,53,85-89,3307.0
2015,53,90-94,2291.0
2015,53,95+,794.0
2015,53,Insgesamt,17210.0
2016,1,0-29,146.0
2016,1,30-34,53.0
2016,1,35-39,62.0
2016,1,40-44,117.0
2016,1,45-49,273.0
2016,1,50-54,513.0
2016,1,55-59,710.0
2016,1,60-64,978.0
2016,1,65-69,1219.0
2016,1,70-74,1611.0
2016,1,75-79,2811.0
2016,1,80-84,3074.0
2016,1,85-89,3527.0
2016,1,90-94,2519.0
2016,1,95+,854.0
2016,1,Insgesamt,18467.0
2016,2,0-29,149.0
2016,2,30-34,55.0
2016,2,35-39,68.0
2016,2,40-44,125.0
2016,2,45-49,258.0
2016,2,50-54,462.0
2016,2,55-59,745.0
2016,2,60-64,983.0
2016,2,65-69,1205.0
2016,2,70-74,1585.0
2016,2,75-79,2737.0
2016,2,80-84,3139.0
2016,2,85-89,3570.0
2016,2,90-94,2511.0
2016,2,95+,847.0
2016,2,Insgesamt,18439.0
2016,3,0-29,125.0
2016,3,30-34,57.0
2016,3,35-39,72.0
2016,3,40-44,114.0
2016,3,45-49,254.0
2016,3,50-54,475.0
2016,3,55-59,683.0
2016,3,60-64,913.0
2016,3,65-69,1230.0
2016,3,70-74,1653.0
2016,3,75-79,2843.0
2016,3,80-84,3143.0
2016,3,85-89,3563.0
2016,3,90-94,2629.0
2016,3,95+,873.0
2016,3,Insgesamt,18627.0
2016,4,0-29,160.0
2016,4,30-34,58.0
2016,4,35-39,68.0
2016,4,40-44,115.0
2016,4,45-49,261.0
2016,4,50-54,482.0
2016,4,55-59,702.0
2016,4,60-64,945.0
2016,4,65-69,1244.0
2016,4,70-74,1638.0
2016,4,75-79,2855.0
2016,4,80-84,3136.0
2016,4,85-89,3570.0
2016,4,90-94,2572.0
2016,4,95+,901.0
2016,4,Insgesamt,18707.0
2016,5,0-29,157.0
2016,5,30-34,70.0
2016,5,35-39,70.0
2016,5,40-44,131.0
2016,5,45-49,266.0
2016,5,50-54,496.0
2016,5,55-59,668.0
2016,5,60-64,943.0
2016,5,65-69,1207.0
2016,5,70-74,1670.0
2016,5,75-79,2852.0
2016,5,80-84,3124.0
2016,5,85-89,3554.0
2016,5,90-94,2426.0
2016,5,95+,859.0
2016,5,Insgesamt,18493.0
2016,6,0-29,165.0
2016,6,30-34,52.0
2016,6,35-39,72.0
2016,6,40-44,116.0
2016,6,45-49,256.0
2016,6,50-54,518.0
2016,6,55-59,765.0
2016,6,60-64,983.0
2016,6,65-69,1210.0
2016,6,70-74,1600.0
2016,6,75-79,2740.0
2016,6,80-84,3116.0
2016,6,85-89,3600.0
2016,6,90-94,2481.0
2016,6,95+,867.0
2016,6,Insgesamt,18541.0
2016,7,0-29,146.0
2016,7,30-34,67.0
2016,7,35-39,66.0
2016,7,40-44,106.0
2016,7,45-49,256.0
2016,7,50-54,468.0
2016,7,55-59,726.0
2016,7,60-64,955.0
2016,7,65-69,1233.0
2016,7,70-74,1662.0
2016,7,75-79,2812.0
2016,7,80-84,3200.0
2016,7,85-89,3397.0
2016,7,90-94,2528.0
2016,7,95+,861.0
2016,7,Insgesamt,18483.0
2016,8,0-29,153.0
2016,8,30-34,49.0
2016,8,35-39,62.0
2016,8,40-44,118.0
2016,8,45-49,257.0
2016,8,50-54,479.0
2016,8,55-59,715.0
2016,8,60-64,1008.0
2016,8,65-69,1188.0
2016,8,70-74,1610.0
2016,8,75-79,2810.0
2016,8,80-84,3112.0
2016,8,85-89,3518.0
2016,8,90-94,2528.0
2016,8,95+,868.0
2016,8,Insgesamt,18475.0
2016,9,0-29,160.0
2016,9,30-34,47.0
2016,9,35-39,72.0
2016,9,40-44,112.0
2016,9,45-49,271.0
