Datum,Altersgruppe,Todesfaelle
2018-W6,35-39,65
2018-W6,40-44,122
2018-W6,45-49,191
2018-W6,50-54,431
2018-W6,55-59,725
2018-W6,60-64,953
2018-W6,65-69,1293
2018-W6,70-74,1664
2018-W6,75-79,3076
2018-W6,80-84,3714
2018-W6,85-89,3624
2018-W6,90-94,2794
2018-W6,95+,1203
2018-W6,Insgesamt,20086
2018-W7,0-29,163
2018-W7,30-34,55
2018-W7,35-39,77
2018-W7,40-44,132
2018-W7,45-49,236
2018-W7,50-54,493
2018-W7,55-59,729
2018-W7,60-64,1049
2018-W7,65-69,1426
2018-W7,70-74,1655
2018-W7,75-79,3064
2018-W7,80-84,3852
2018-W7,85-89,3979
2018-W7,90-94,3076
2018-W7,95+,1268
2018-W7,Insgesamt,21254
2018-W8,0-29,130
2018-W8,30-34,44
2018-W8,35-39,78
2018-W8,40-44,105
2018-W8,45-49,269
2018-W8,50-54,512
2018-W8,55-59,827
2018-W8,60-64,1145
2018-W8,65-69,1499
2018-W8,70-74,1873
2018-W8,75-79,3174
2018-W8,80-84,4113
2018-W8,85-89,4269
2018-W8,90-94,3391
2018-W8,95+,1459
2018-W8,Insgesamt,22888
2018-W9,0-29,162
2018-W9,30-34,58
2018-W9,35-39,88
2018-W9,40-44,156
2018-W9,45-49,262
2018-W9,50-54,541
2018-W9,55-59,840
2018-W9,60-64,1227
2018-W9,65-69,1620
2018-W9,70-74,2016
2018-W9,75-79,3696
2018-W9,80-84,4635
2018-W9,85-89,4781
2018-W9,90-94,3864
2018-W9,95+,1589
2018-W9,Insgesamt,25535
2019-W1,0-29,153
2019-W1,30-34,53
2019-W1,35-39,65
2019-W1,40-44,116
2019-W1,45-49,186
2019-W1,50-54,450
2019-W1,55-59,666
2019-W1,60-64,991
2019-W1,65-69,1293
2019-W1,70-74,1442
2019-W1,75-79,2549
2019-W1,80-84,3526
2019-W1,85-89,3375
2019-W1,90-94,2731
2019-W1,95+,1090
2019-W1,Insgesamt,18686
2019-W10,0-29,151
2019-W10,30-34,41
2019-W10,35-39,89
2019-W10,40-44,123
2019-W10,45-49,214
2019-W10,50-54,469
2019-W10,55-59,717
2019-W10,60-64,1084
2019-W10,65-69,1325
2019-W10,70-74,1538
2019-W10,75-79,2865
2019-W10,80-84,3996
2019-W10,85-89,3779
2019-W10,90-94,2897
2019-W10,95+,1165
2019-W10,Insgesamt,20453
2019-W11,0-29,154
2019-W11,30-34,53
2019-W11,35-39,72
2019-W11,40-44,100
2019-W11,45-49,208
2019-W11,50-54,419
2019-W11,55-59,724
2019-W11,60-64,1012
2019-W11,65-69,1328
2019-W11,70-74,1554
2019-W11,75-79,2774
2019-W11,80-84,3791
2019-W11,85-89,3657
2019-W11,90-94,2819
2019-W11,95+,1130
2019-W11,Insgesamt,19795
2019-W12,0-29,133
2019-W12,30-34,42
2019-W12,35-39,75
2019-W12,40-44,105
2019-W12,45-49,175
2019-W12,50-54,461
2019-W12,55-59,721
2019-W12,60-64,971
2019-W12,65-69,1282
2019-W12,70-74,1484
2019-W12,75-79,2609
2019-W12,80-84,3594
2019-W12,85-89,3503
2019-W12,90-94,2724
2019-W12,95+,1137
2019-W12,Insgesamt,19016
2019-W13,0-29,159
2019-W13,30-34,63
2019-W13,35-39,64
2019-W13,40-44,114
2019-W13,45-49,200
2019-W13,50-54,399
2019-W13,55-59,649
2019-W13,60-64,967
2019-W13,65-69,1283
2019-W13,70-74,1459
2019-W13,75-79,2603
2019-W13,80-84,3604
2019-W13,85-89,3269
2019-W13,90-94,2663
2019-W13,95+,1066
2019-W13,Insgesamt,18562
2019-W14,0-29,135
2019-W14,30-34,45
2019-W14,35-39,75
2019-W14,40-44,103
2019-W14,45-49,202
2019-W14,50-54,408
2019-W14,55-59,719
2019-W14,60-64,958
2019-W14,65-69,1296
2019-W14,70-74,1437
2019-W14,75-79,2682
2019-W14,80-84,3582
2019-W14,85-89,3406
2019-W14,90-94,2559
2019-W14,95+,1064
2019-W14,Insgesamt,18671
2019-W15,0-29,144
2019-W15,30-34,61
2019-W15,35-39,71
2019-W15,40-44,112
2019-W15,45-49,205
2019-W15,50-54,397
2019-W15,55-59,651
2019-W15,60-64,908
2019-W15,65-69,1207
2019-W15,70-74,1393
2019-W15,75-79,2499
2019-W15,80-84,3472
2019-W15,85-89,3244
2019-W15,90-94,2476
2019-W15,95+,1012
2019-W15,Insgesamt,17852
2019-W16,0-29,156
2019-W16,30-34,55
2019-W16,35-39,69
2019-W16,40-44,92
2019-W16,45-49,195
2019-W16,50-54,430
2019-W16,55-59,663
2019-W16,60-64,938
2019-W16,65-69,1274
2019-W16,70-74,1453
2019-W16,75-79,2544
2019-W16,80-84,3471
2019-W16,85-89,3210
2019-W16,90-94,2505
2019-W16,95+,1034
2019-W16,Insgesamt,18089
2019-W17,0-29,127
2019-W17,30-34,60
2019-W17,35-39,74
2019-W17,40-44,77
2019-W17,45-49,201
2019-W17,50-54,413
2019-W17,55-59,703
2019-W17,60-64,926
2019-W17,65-69,1216
2019-W17,70-74,1475
2019-W17,75-79,2469
2019-W17,80-84,3443
2019-W17,85-89,3184
2019-W17,90-94,2481
2019-W17,95+,1045
2019-W17,Insgesamt,17894
2019-W18,0-29,130
2019-W18,30-34,58
2019-W18,35-39,66
2019-W18,40-44,94
2019-W18,45-49,185
2019-W18,50-54,370
2019-W18,55-59,703
2019-W18,60-64,888
2019-W18,65-69,1199
2019-W18,70-74,1285
2019-W18,75-79,2379
2019-W18,80-84,3299
2019-W18,85-89,3015
2019-W18,90-94,2451
2019-W18,95+,968
2019-W18,Insgesamt,17090
2019-W19,0-29,131
2019-W19,30-34,54
2019-W19,35-39,70
2019-W19,40-44,99
2019-W19,45-49,174
2019-W19,50-54,366
2019-W19,55-59,668
2019-W19,60-64,903
2019-W19,65-69,1248
2019-W19,70-74,1397
2019-W19,75-79,2445
2019-W19,80-84,3349
2019-W19,85-89,2965
2019-W19,90-94,2290
2019-W19,95+,959
2019-W19,Insgesamt,17118
2019-W2,0-29,154
2019-W2,30-34,56
2019-W2,35-39,80
2019-W2,40-44,118
2019-W2,45-49,195
2019-W2,50-54,464
2019-W2,55-59,707
2019-W2,60-64,1016
2019-W2,65-69,1353
2019-W2,70-74,1477
2019-W2,75-79,2601
2019-W2,80-84,3681
2019-W2,85-89,3498
2019-W2,90-94,2632
2019-W2,95+,1138
2019-W2,Insgesamt,19170
2019-W20,0-29,130
2019-W20,30-34,56
2019-W20,35-39,73
2019-W20,40-44,94
2019-W20,45-49,171
2019-W20,50-54,416
2019-W20,55-59,649
2019-W20,60-64,936
2019-W20,65-69,1239
2019-W20,70-74,1370
2019-W20,75-79,2441
2019-W20,80-84,3369
2019-W20,85-89,2966
2019-W20,90-94,2391
2019-W20,95+,1014
2019-W20,Insgesamt,17315
2019-W21,0-29,155
2019-W21,30-34,47
2019-W21,35-39,63
2019-W21,40-44,107
2019-W21,45-49,202
2019-W21,50-54,373
2019-W21,55-59,689
2019-W21,60-64,901
2019-W21,65-69,1205
2019-W21,70-74,1394
2019-W21,75-79,2342
2019-W21,80-84,3277
2019-W21,85-89,3011
2019-W21,90-94,2338
2019-W21,95+,976
2019-W21,Insgesamt,17080
2019-W22,0-29,144
2019-W22,30-34,30
2019-W22,35-39,61
2019-W22,40-44,111
2019-W22,45-49,196
2019-W22,50-54,422
2019-W22,55-59,678
2019-W22,60-64,852
2019-W22,65-69,1235
2019-W22,70-74,1356
2019-W22,75-79,2381
2019-W22,80-84,3148
2019-W22,85-89,2991
2019-W22,90-94,2384
2019-W22,95+,932
2019-W22,Insgesamt,16921
2019-W23,0-29,168
2019-W23,30-34,61
2019-W23,35-39,77
2019-W23,40-44,120
2019-W23,45-49,195
2019-W23,50-54,412
2019-W23,55-59,663
2019-W23,60-64,915
2019-W23,65-69,1239
2019-W23,70-74,1371
2019-W23,75-79,2496
2019-W23,80-84,3350
2019-W23,85-89,3025
2019-W23,90-94,2390
2019-W23,95+,1009
2019-W23,Insgesamt,17491
2019-W24,0-29,123
2019-W24,30-34,52
2019-W24,35-39,77
2019-W24,40-44,116
2019-W24,45-49,184
2019-W24,50-54,399
2019-W24,55-59,684
2019-W24,60-64,898
2019-W24,65-69,1190
2019-W24,70-74,1285
2019-W24,75-79,2293
2019-W24,80-84,3110
2019-W24,85-89,2915
2019-W24,90-94,2258
2019-W24,95+,900
2019-W24,Insgesamt,16484
2019-W25,0-29,141
2019-W25,30-34,55
2019-W25,35-39,73
2019-W25,40-44,107
2019-W25,45-49,204
2019-W25,50-54,409
2019-W25,55-59,665
2019-W25,60-64,903
2019-W25,65-69,1130
2019-W25,70-74,1304
2019-W25,75-79,2293
2019-W25,80-84,3270
2019-W25,85-89,3007
2019-W25,90-94,2179
2019-W25,95+,899
2019-W25,Insgesamt,16639
2019-W26,0-29,156
2019-W26,30-34,48
2019-W26,35-39,84
2019-W26,40-44,105
2019-W26,45-49,216
2019-W26,50-54,416
2019-W26,55-59,692
2019-W26,60-64,989
2019-W26,65-69,1210
2019-W26,70-74,1376
2019-W26,75-79,2421
2019-W26,80-84,3477
2019-W26,85-89,3235
2019-W26,90-94,2473
2019-W26,95+,1020
2019-W26,Insgesamt,17918
2019-W27,0-29,149
2019-W27,30-34,52
2019-W27,35-39,69
2019-W27,40-44,110
2019-W27,45-49,181
2019-W27,50-54,385
2019-W27,55-59,698
2019-W27,60-64,904
2019-W27,65-69,1196
2019-W27,70-74,1340
2019-W27,75-79,2312
2019-W27,80-84,3171
2019-W27,85-89,2880
2019-W27,90-94,2200
2019-W27,95+,905
2019-W27,Insgesamt,16552
2019-W28,0-29,119
2019-W28,30-34,42
2019-W28,35-39,60
2019-W28,40-44,94
2019-W28,45-49,164
2019-W28,50-54,378
2019-W28,55-59,647
2019-W28,60-64,870
2019-W28,65-69,1176
2019-W28,70-74,1335
2019-W28,75-79,2236
2019-W28,80-84,3142
2019-W28,85-89,2862
2019-W28,90-94,2266
2019-W28,95+,928
2019-W28,Insgesamt,16319
2019-W29,0-29,147
2019-W29,30-34,48
2019-W29,35-39,68
2019-W29,40-44,94
2019-W29,45-49,175
2019-W29,50-54,396
2019-W29,55-59,691
2019-W29,60-64,931
2019-W29,65-69,1208
2019-W29,70-74,1270
2019-W29,75-79,2282
2019-W29,80-84,3261
2019-W29,85-89,3050
2019-W29,90-94,2315
2019-W29,95+,920
2019-W29,Insgesamt,16856
2019-W3,0-29,152
2019-W3,30-34,49
2019-W3,35-39,70
2019-W3,40-44,105
2019-W3,45-49,234
2019-W3,50-54,474
2019-W3,55-59,692
2019-W3,60-64,953
2019-W3,65-69,1291
2019-W3,70-74,1455
2019-W3,75-79,2697
2019-W3,80-84,3624
2019-W3,85-89,3560
2019-W3,90-94,2708
2019-W3,95+,1099
2019-W3,Insgesamt,19163
2019-W30,0-29,176
2019-W30,30-34,54
2019-W30,35-39,84
2019-W30,40-44,100
2019-W30,45-49,206
2019-W30,50-54,429
2019-W30,55-59,675
2019-W30,60-64,981
2019-W30,65-69,1415
2019-W30,70-74,1563
2019-W30,75-79,2617
2019-W30,80-84,3921
2019-W30,85-89,3476
2019-W30,90-94,2769
2019-W30,95+,1164
2019-W30,Insgesamt,19630
2019-W31,0-29,138
2019-W31,30-34,53
2019-W31,35-39,71
2019-W31,40-44,101
2019-W31,45-49,213
2019-W31,50-54,434
2019-W31,55-59,649
2019-W31,60-64,869
2019-W31,65-69,1247
2019-W31,70-74,1392
2019-W31,75-79,2246
2019-W31,80-84,3283
2019-W31,85-89,2984
2019-W31,90-94,2391
2019-W31,95+,963
2019-W31,Insgesamt,17034
2019-W32,0-29,142
2019-W32,30-34,49
2019-W32,35-39,83
2019-W32,40-44,109
2019-W32,45-49,178
2019-W32,50-54,347
2019-W32,55-59,627
2019-W32,60-64,893
2019-W32,65-69,1192
2019-W32,70-74,1312
2019-W32,75-79,2361
2019-W32,80-84,3200
2019-W32,85-89,2906
2019-W32,90-94,2228
2019-W32,95+,913
2019-W32,Insgesamt,16540
2019-W33,0-29,158
2019-W33,30-34,40
2019-W33,35-39,76
2019-W33,40-44,107
2019-W33,45-49,163
2019-W33,50-54,393
2019-W33,55-59,610
2019-W33,60-64,829
2019-W33,65-69,1127
2019-W33,70-74,1278
2019-W33,75-79,2158
2019-W33,80-84,3083
2019-W33,85-89,2794
2019-W33,90-94,2202
2019-W33,95+,916
2019-W33,Insgesamt,15934
2019-W34,0-29,136
2019-W34,30-34,49
2019-W34,35-39,74
2019-W34,40-44,94
2019-W34,45-49,202
2019-W34,50-54,395
2019-W34,55-59,620
2019-W34,60-64,893
2019-W34,65-69,1189
2019-W34,70-74,1278
2019-W34,75-79,2267
2019-W34,80-84,3115
2019-W34,85-89,2850
2019-W34,90-94,2245
2019-W34,95+,856
2019-W34,Insgesamt,16263
2019-W35,0-29,158
2019-W35,30-34,51
2019-W35,35-39,89
2019-W35,40-44,98
2019-W35,45-49,183
2019-W35,50-54,393
2019-W35,55-59,677
2019-W35,60-64,922
2019-W35,65-69,1236
2019-W35,70-74,1405
2019-W35,75-79,2360
2019-W35,80-84,3425
2019-W35,85-89,3253
2019-W35,90-94,2372
2019-W35,95+,1015
2019-W35,Insgesamt,17637
2019-W36,0-29,139
2019-W36,30-34,47
2019-W36,35-39,85
2019-W36,40-44,107
2019-W36,45-49,191
2019-W36,50-54,389
2019-W36,55-59,630
2019-W36,60-64,841
2019-W36,65-69,1167
2019-W36,70-74,1281
2019-W36,75-79,2181
2019-W36,80-84,3048
2019-W36,85-89,2879
2019-W36,90-94,2130
2019-W36,95+,873
2019-W36,Insgesamt,15988
2019-W37,0-29,128
2019-W37,30-34,61
2019-W37,35-39,72
2019-W37,40-44,102
2019-W37,45-49,185
2019-W37,50-54,432
2019-W37,55-59,622
2019-W37,60-64,838
2019-W37,65-69,1161
2019-W37,70-74,1271
2019-W37,75-79,2237
2019-W37,80-84,3197
2019-W37,85-89,2853
2019-W37,90-94,2223
2019-W37,95+,921
2019-W37,Insgesamt,16303
2019-W38,0-29,148
2019-W38,30-34,59
2019-W38,35-39,71
2019-W38,40-44,88
2019-W38,45-49,168
2019-W38,50-54,409
2019-W38,55-59,681
2019-W38,60-64,876
2019-W38,65-69,1228
2019-W38,70-74,1280
2019-W38,75-79,2260
2019-W38,80-84,3120
2019-W38,85-89,2880
2019-W38,90-94,2307
2019-W38,95+,925
2019-W38,Insgesamt,16500
2019-W39,0-29,127
2019-W39,30-34,43
2019-W39,35-39,72
2019-W39,40-44,102
2019-W39,45-49,183
2019-W39,50-54,409
2019-W39,55-59,660
2019-W39,60-64,957
2019-W39,65-69,1241
2019-W39,70-74,1357
2019-W39,75-79,2353
2019-W39,80-84,3404
2019-W39,85-89,3091
2019-W39,90-94,2431
2019-W39,95+,972
2019-W39,Insgesamt,17402
2019-W4,0-29,141
2019-W4,30-34,57
2019-W4,35-39,60
2019-W4,40-44,90
2019-W4,45-49,214
2019-W4,50-54,429
2019-W4,55-59,752
2019-W4,60-64,1004
2019-W4,65-69,1321
2019-W4,70-74,1530
2019-W4,75-79,2678
2019-W4,80-84,3712
2019-W4,85-89,3567
2019-W4,90-94,2736
2019-W4,95+,1214
2019-W4,Insgesamt,19505
2019-W40,0-29,160
2019-W40,30-34,44
2019-W40,35-39,57
2019-W40,40-44,103
2019-W40,45-49,189
2019-W40,50-54,395
2019-W40,55-59,605
2019-W40,60-64,894
2019-W40,65-69,1171
2019-W40,70-74,1373
2019-W40,75-79,2345
2019-W40,80-84,3263
2019-W40,85-89,3039
2019-W40,90-94,2314
2019-W40,95+,947
2019-W40,Insgesamt,16899
2019-W41,0-29,126
2019-W41,30-34,52
2019-W41,35-39,96
2019-W41,40-44,94
2019-W41,45-49,178
2019-W41,50-54,403
2019-W41,55-59,689
2019-W41,60-64,915
2019-W41,65-69,1249
2019-W41,70-74,1356
2019-W41,75-79,2414
2019-W41,80-84,3371
2019-W41,85-89,3226
2019-W41,90-94,2496
2019-W41,95+,1001
2019-W41,Insgesamt,17666
2019-W42,0-29,133
2019-W42,30-34,44
2019-W42,35-39,77
2019-W42,40-44,102
2019-W42,45-49,212
2019-W42,50-54,370
2019-W42,55-59,664
2019-W42,60-64,932
2019-W42,65-69,1183
2019-W42,70-74,1422
2019-W42,75-79,2411
2019-W42,80-84,3442
2019-W42,85-89,3190
2019-W42,90-94,2445
2019-W42,95+,1086
2019-W42,Insgesamt,17713
2019-W43,0-29,135
2019-W43,30-34,49
2019-W43,35-39,80
2019-W43,40-44,112
2019-W43,45-49,176
2019-W43,50-54,370
2019-W43,55-59,633
2019-W43,60-64,958
2019-W43,65-69,1224
2019-W43,70-74,1386
2019-W43,75-79,2327
2019-W43,80-84,3374
2019-W43,85-89,3029
2019-W43,90-94,2453
2019-W43,95+,1021
2019-W43,Insgesamt,17327
2019-W44,0-29,135
2019-W44,30-34,46
2019-W44,35-39,60
2019-W44,40-44,112
2019-W44,45-49,197
2019-W44,50-54,397
2019-W44,55-59,686
2019-W44,60-64,917
2019-W44,65-69,1213
2019-W44,70-74,1375
2019-W44,75-79,2444
2019-W44,80-84,3403
2019-W44,85-89,3060
2019-W44,90-94,2454
2019-W44,95+,989
2019-W44,Insgesamt,17488
2019-W45,0-29,147
2019-W45,30-34,47
2019-W45,35-39,92
2019-W45,40-44,95
2019-W45,45-49,213
2019-W45,50-54,426
2019-W45,55-59,674
2019-W45,60-64,929
2019-W45,65-69,1250
2019-W45,70-74,1402
2019-W45,75-79,2372
2019-W45,80-84,3474
2019-W45,85-89,3210
2019-W45,90-94,2519
2019-W45,95+,1009
2019-W45,Insgesamt,17859
2019-W46,0-29,135
2019-W46,30-34,46
2019-W46,35-39,72
2019-W46,40-44,120
2019-W46,45-49,181
2019-W46,50-54,420
2019-W46,55-59,750
2019-W46,60-64,924
2019-W46,65-69,1242
2019-W46,70-74,1472
2019-W46,75-79,2426
2019-W46,80-84,3585
2019-W46,85-89,3240
2019-W46,90-94,2592
2019-W46,95+,1037
2019-W46,Insgesamt,18242
2019-W47,0-29,136
2019-W47,30-34,60
2019-W47,35-39,72
2019-W47,40-44,115
2019-W47,45-49,172
2019-W47,50-54,386
2019-W47,55-59,676
2019-W47,60-64,940
2019-W47,65-69,1193
2019-W47,70-74,1414
2019-W47,75-79,2428
2019-W47,80-84,3681
2019-W47,85-89,3479
2019-W47,90-94,2654
2019-W47,95+,1129
2019-W47,Insgesamt,18535
2019-W48,0-29,133
2019-W48,30-34,47
2019-W48,35-39,74
2019-W48,40-44,90
2019-W48,45-49,207
2019-W48,50-54,337
2019-W48,55-59,669
2019-W48,60-64,991
2019-W48,65-69,1277
2019-W48,70-74,1431
2019-W48,75-79,2538
2019-W48,80-84,3620
2019-W48,85-89,3315
2019-W48,90-94,2743
2019-W48,95+,1109
2019-W48,Insgesamt,18581
2019-W49,0-29,149
2019-W49,30-34,53
2019-W49,35-39,81
2019-W49,40-44,95
2019-W49,45-49,200
2019-W49,50-54,410
2019-W49,55-59,726
2019-W49,60-64,1030
2019-W49,65-69,1316
2019-W49,70-74,1534
2019-W49,75-79,2465
2019-W49,80-84,3703
2019-W49,85-89,3536
2019-W49,90-94,2763
2019-W49,95+,1082
2019-W49,Insgesamt,19143
2019-W5,0-29,158
2019-W5,30-34,39
2019-W5,35-39,78
2019-W5,40-44,117
2019-W5,45-49,230
2019-W5,50-54,414
2019-W5,55-59,757
2019-W5,60-64,1028
2019-W5,65-69,1350
2019-W5,70-74,1479
2019-W5,75-79,2821
2019-W5,80-84,3804
2019-W5,85-89,3623
2019-W5,90-94,2764
2019-W5,95+,1150
2019-W5,Insgesamt,19812
2019-W50,0-29,151
2019-W50,30-34,68
2019-W50,35-39,95
2019-W50,40-44,85
2019-W50,45-49,209
2019-W50,50-54,392
2019-W50,55-59,660
2019-W50,60-64,952
2019-W50,65-69,1302
2019-W50,70-74,1546
2019-W50,75-79,2628
2019-W50,80-84,3692
2019-W50,85-89,3545
2019-W50,90-94,2677
2019-W50,95+,1099
2019-W50,Insgesamt,19101
2019-W51,0-29,154
2019-W51,30-34,36
2019-W51,35-39,78
2019-W51,40-44,93
2019-W51,45-49,175
2019-W51,50-54,408
2019-W51,55-59,707
2019-W51,60-64,958
2019-W51,65-69,1355
2019-W51,70-74,1519
2019-W51,75-79,2573
2019-W51,80-84,3719
2019-W51,85-89,3475
2019-W51,90-94,2695
2019-W51,95+,1117
2019-W51,Insgesamt,19062
2019-W52,0-29,119
2019-W52,30-34,35
2019-W52,35-39,76
2019-W52,40-44,100
2019-W52,45-49,158
2019-W52,50-54,383
2019-W52,55-59,686
2019-W52,60-64,874
2019-W52,65-69,1254
2019-W52,70-74,1392
2019-W52,75-79,2366
2019-W52,80-84,3600
2019-W52,85-89,3402
2019-W52,90-94,2664
2019-W52,95+,1095
2019-W52,Insgesamt,18204
2019-W53,0-29,
2019-W53,30-34,
2019-W53,35-39,
2019-W53,40-44,
2019-W53,45-49,
2019-W53,50-54,
2019-W53,55-59,
2019-W53,60-64,
2019-W53,65-69,
2019-W53,70-74,
2019-W53,75-79,
2019-W53,80-84,
2019-W53,85-89,
2019-W53,90-94,
2019-W53,95+,
2019-W53,Insgesamt,
2019-W6,0-29,163
2019-W6,30-34,64
2019-W6,35-39,88
2019-W6,40-44,105
2019-W6,45-49,220
2019-W6,50-54,465
2019-W6,55-59,739
2019-W6,60-64,1023
2019-W6,65-69,1363
2019-W6,70-74,1605
2019-W6,75-79,2712
2019-W6,80-84,3833
2019-W6,85-89,3656
2019-W6,90-94,2797
2019-W6,95+,1148
2019-W6,Insgesamt,19981
2019-W7,0-29,166
2019-W7,30-34,48
2019-W7,35-39,80
2019-W7,40-44,119
2019-W7,45-49,206
2019-W7,50-54,440
2019-W7,55-59,739
2019-W7,60-64,1034
2019-W7,65-69,1392
2019-W7,70-74,1622
2019-W7,75-79,2868
2019-W7,80-84,3933
2019-W7,85-89,3634
2019-W7,90-94,2769
2019-W7,95+,1100
2019-W7,Insgesamt,20150
2019-W8,0-29,156
2019-W8,30-34,44
2019-W8,35-39,75
2019-W8,40-44,104
2019-W8,45-49,227
2019-W8,50-54,473
2019-W8,55-59,712
2019-W8,60-64,976
2019-W8,65-69,1400
2019-W8,70-74,1587
2019-W8,75-79,2800
2019-W8,80-84,3876
2019-W8,85-89,3811
2019-W8,90-94,2901
2019-W8,95+,1207
2019-W8,Insgesamt,20349
2019-W9,0-29,150
2019-W9,30-34,56
2019-W9,35-39,77
2019-W9,40-44,126
2019-W9,45-49,206
2019-W9,50-54,499
2019-W9,55-59,736
2019-W9,60-64,1073
2019-W9,65-69,1460
2019-W9,70-74,1608
2019-W9,75-79,2846
2019-W9,80-84,4019
2019-W9,85-89,3788
2019-W9,90-94,2938
2019-W9,95+,1208
2019-W9,Insgesamt,20790
2020-W1,0-29,137
2020-W1,30-34,74
2020-W1,35-39,82
2020-W1,40-44,119
2020-W1,45-49,203
2020-W1,50-54,392
2020-W1,55-59,730
2020-W1,60-64,983
2020-W1,65-69,1240
2020-W1,70-74,1420
2020-W1,75-79,2416
2020-W1,80-84,3662
2020-W1,85-89,3503
2020-W1,90-94,2783
2020-W1,95+,1139
2020-W1,Insgesamt,18883
2020-W10,0-29,168
2020-W10,30-34,53
2020-W10,35-39,71
2020-W10,40-44,111
2020-W10,45-49,165
2020-W10,50-54,406
2020-W10,55-59,737
2020-W10,60-64,997
2020-W10,65-69,1351
2020-W10,70-74,1512
2020-W10,75-79,2485
2020-W10,80-84,3803
2020-W10,85-89,3697
2020-W10,90-94,2911
2020-W10,95+,1200
2020-W10,Insgesamt,19667
2020-W11,0-29,135
2020-W11,30-34,45
2020-W11,35-39,83
2020-W11,40-44,118
2020-W11,45-49,192
2020-W11,50-54,415
2020-W11,55-59,696
2020-W11,60-64,1036
2020-W11,65-69,1381
2020-W11,70-74,1596
2020-W11,75-79,2541
2020-W11,80-84,3963
2020-W11,85-89,3553
2020-W11,90-94,2890
2020-W11,95+,1205
2020-W11,Insgesamt,19849
2020-W12,0-29,141
2020-W12,30-34,57
2020-W12,35-39,67
2020-W12,40-44,102
2020-W12,45-49,233
2020-W12,50-54,434
2020-W12,55-59,691
2020-W12,60-64,1037
2020-W12,65-69,1401
2020-W12,70-74,1561
2020-W12,75-79,2582
2020-W12,80-84,3808
2020-W12,85-89,3634
2020-W12,90-94,2798
2020-W12,95+,1176
2020-W12,Insgesamt,19722
2020-W13,0-29,131
2020-W13,30-34,44
2020-W13,35-39,81
2020-W13,40-44,113
2020-W13,45-49,182
2020-W13,50-54,436
2020-W13,55-59,748
2020-W13,60-64,970
2020-W13,65-69,1360
2020-W13,70-74,1559
2020-W13,75-79,2505
2020-W13,80-84,3956
2020-W13,85-89,3634
2020-W13,90-94,2784
2020-W13,95+,1175
2020-W13,Insgesamt,19678
2020-W14,0-29,135
2020-W14,30-34,52
2020-W14,35-39,89
2020-W14,40-44,129
2020-W14,45-49,214
2020-W14,50-54,412
2020-W14,55-59,724
2020-W14,60-64,1002
2020-W14,65-69,1399
2020-W14,70-74,1624
2020-W14,75-79,2761
2020-W14,80-84,4060
2020-W14,85-89,3880
2020-W14,90-94,2958
2020-W14,95+,1223
2020-W14,Insgesamt,20662
2020-W15,0-29,127
2020-W15,30-34,44
2020-W15,35-39,80
2020-W15,40-44,113
2020-W15,45-49,199
2020-W15,50-54,437
2020-W15,55-59,737
2020-W15,60-64,1013
2020-W15,65-69,1414
2020-W15,70-74,1563
2020-W15,75-79,2609
2020-W15,80-84,4119
2020-W15,85-89,3843
2020-W15,90-94,2983
2020-W15,95+,1221
2020-W15,Insgesamt,20502
2020-W16,0-29,140
2020-W16,30-34,62
2020-W16,35-39,77
2020-W16,40-44,129
2020-W16,45-49,182
2020-W16,50-54,420
2020-W16,55-59,663
2020-W16,60-64,941
2020-W16,65-69,1283
2020-W16,70-74,1524
2020-W16,75-79,2521
2020-W16,80-84,3829
2020-W16,85-89,3580
2020-W16,90-94,2805
2020-W16,95+,1105
2020-W16,Insgesamt,19261
2020-W17,0-29,136
2020-W17,30-34,52
2020-W17,35-39,69
2020-W17,40-44,113
2020-W17,45-49,192
2020-W17,50-54,379
2020-W17,55-59,671
2020-W17,60-64,985
2020-W17,65-69,1241
2020-W17,70-74,1505
2020-W17,75-79,2366
2020-W17,80-84,3708
2020-W17,85-89,3396
2020-W17,90-94,2640
2020-W17,95+,1104
2020-W17,Insgesamt,18557
2020-W18,0-29,126
2020-W18,30-34,54
2020-W18,35-39,85
2020-W18,40-44,106
2020-W18,45-49,199
2020-W18,50-54,343
2020-W18,55-59,718
2020-W18,60-64,948
2020-W18,65-69,1200
2020-W18,70-74,1448
2020-W18,75-79,2295
2020-W18,80-84,3596
2020-W18,85-89,3294
2020-W18,90-94,2448
2020-W18,95+,1060
2020-W18,Insgesamt,17920
2020-W19,0-29,123
2020-W19,30-34,43
2020-W19,35-39,69
2020-W19,40-44,121
2020-W19,45-49,184
2020-W19,50-54,407
2020-W19,55-59,686
2020-W19,60-64,961
2020-W19,65-69,1250
2020-W19,70-74,1370
2020-W19,75-79,2216
2020-W19,80-84,3460
2020-W19,85-89,3249
2020-W19,90-94,2474
2020-W19,95+,1038
2020-W19,Insgesamt,17651
2020-W2,0-29,135
2020-W2,30-34,56
2020-W2,35-39,98
2020-W2,40-44,111
2020-W2,45-49,198
2020-W2,50-54,433
2020-W2,55-59,715
2020-W2,60-64,1000
2020-W2,65-69,1271
2020-W2,70-74,1558
2020-W2,75-79,2470
2020-W2,80-84,3738
2020-W2,85-89,3525
2020-W2,90-94,2926
2020-W2,95+,1174
2020-W2,Insgesamt,19408
2020-W20,0-29,133
2020-W20,30-34,53
2020-W20,35-39,70
2020-W20,40-44,127
2020-W20,45-49,182
2020-W20,50-54,407
2020-W20,55-59,687
