Datum,Altersgruppe,Todesfaelle
2015-W8,Insgesamt,23264
2015-W9,0-29,152
2015-W9,30-34,59
2015-W9,35-39,72
2015-W9,40-44,121
2015-W9,45-49,300
2015-W9,50-54,541
2015-W9,55-59,733
2015-W9,60-64,1110
2015-W9,65-69,1270
2015-W9,70-74,2206
2015-W9,75-79,3405
2015-W9,80-84,4070
2015-W9,85-89,4701
2015-W9,90-94,3687
2015-W9,95+,1171
2015-W9,Insgesamt,23598
2016-W1,0-29,146
2016-W1,30-34,53
2016-W1,35-39,62
2016-W1,40-44,117
2016-W1,45-49,273
2016-W1,50-54,513
2016-W1,55-59,710
2016-W1,60-64,978
2016-W1,65-69,1219
2016-W1,70-74,1611
2016-W1,75-79,2811
2016-W1,80-84,3074
2016-W1,85-89,3527
2016-W1,90-94,2519
2016-W1,95+,854
2016-W1,Insgesamt,18467
2016-W10,0-29,147
2016-W10,30-34,46
2016-W10,35-39,73
2016-W10,40-44,131
2016-W10,45-49,270
2016-W10,50-54,493
2016-W10,55-59,753
2016-W10,60-64,966
2016-W10,65-69,1255
2016-W10,70-74,1726
2016-W10,75-79,2803
2016-W10,80-84,3230
2016-W10,85-89,3556
2016-W10,90-94,2543
2016-W10,95+,896
2016-W10,Insgesamt,18888
2016-W11,0-29,167
2016-W11,30-34,63
2016-W11,35-39,70
2016-W11,40-44,128
2016-W11,45-49,263
2016-W11,50-54,505
2016-W11,55-59,710
2016-W11,60-64,949
2016-W11,65-69,1244
2016-W11,70-74,1594
2016-W11,75-79,3013
2016-W11,80-84,3224
2016-W11,85-89,3586
2016-W11,90-94,2567
2016-W11,95+,888
2016-W11,Insgesamt,18971
2016-W12,0-29,174
2016-W12,30-34,50
2016-W12,35-39,78
2016-W12,40-44,120
2016-W12,45-49,245
2016-W12,50-54,475
2016-W12,55-59,726
2016-W12,60-64,1013
2016-W12,65-69,1186
2016-W12,70-74,1700
2016-W12,75-79,2913
2016-W12,80-84,3223
2016-W12,85-89,3479
2016-W12,90-94,2533
2016-W12,95+,911
2016-W12,Insgesamt,18826
2016-W13,0-29,179
2016-W13,30-34,64
2016-W13,35-39,78
2016-W13,40-44,135
2016-W13,45-49,276
2016-W13,50-54,464
2016-W13,55-59,715
2016-W13,60-64,943
2016-W13,65-69,1234
2016-W13,70-74,1668
2016-W13,75-79,2855
2016-W13,80-84,3099
2016-W13,85-89,3458
2016-W13,90-94,2551
2016-W13,95+,898
2016-W13,Insgesamt,18617
2016-W14,0-29,141
2016-W14,30-34,48
2016-W14,35-39,69
2016-W14,40-44,110
2016-W14,45-49,248
2016-W14,50-54,458
2016-W14,55-59,734
2016-W14,60-64,943
2016-W14,65-69,1188
2016-W14,70-74,1607
2016-W14,75-79,2792
2016-W14,80-84,3021
2016-W14,85-89,3535
2016-W14,90-94,2435
2016-W14,95+,915
2016-W14,Insgesamt,18244
2016-W15,0-29,135
2016-W15,30-34,53
2016-W15,35-39,73
